customer_id,region,acquisition_channel,application_date,verification_status,activation_status,activated_date,age_band,product_type,monthly_transactions,monthly_spend,fraud_flag,fraud_amount,complaint_flag,login_days_30,retention_risk
CUST00001,Midwest,Paid Media,2025-02-02,Dropped,Not Activated,,18-25,Checking Account,3,196.52,0,0.0,0,4,High
CUST00002,South,Paid Media,2025-05-16,Verified,Activated,2025-05-25,26-35,Checking Account,24,3195.16,0,0.0,0,9,High
CUST00003,South,Mobile App,2025-12-21,Verified,Activated,2025-12-31,18-25,Checking Account,22,4840.8,0,0.0,0,9,Medium
CUST00004,Northeast,Website,2025-06-21,Verified,Not Activated,,36-45,Savings Account,2,78.09,0,0.0,0,5,Medium
CUST00005,South,Mobile App,2025-11-24,Verified,Activated,2025-11-27,18-25,Savings Account,14,3925.57,0,0.0,0,23,Low
CUST00006,South,Website,2025-03-31,Verified,Activated,2025-04-02,46-60,Checking Account,2,1589.36,1,1584.84,0,20,Medium
CUST00007,Northeast,Mobile App,2025-12-29,Verified,Activated,2026-01-07,26-35,Savings Account,15,3355.14,0,0.0,0,25,Low
CUST00008,Northeast,Paid Media,2025-05-03,Verified,Activated,2025-05-04,18-25,Checking Account,14,2286.17,0,0.0,0,23,Medium
CUST00009,Northeast,Mobile App,2025-08-10,Verified,Activated,2025-08-14,46-60,Credit Card,22,3915.88,0,0.0,0,29,Low
CUST00010,West,Website,2025-01-29,Verified,Activated,2025-01-30,26-35,Savings Account,13,3816.75,0,0.0,0,26,Medium
CUST00011,South,Mobile App,2025-02-21,Verified,Activated,2025-02-27,18-25,Checking Account,19,606.67,0,0.0,0,11,High
CUST00012,Midwest,Branch Referral,2025-12-28,Verified,Not Activated,,60+,Savings Account,2,20.68,0,0.0,0,3,High
CUST00013,Midwest,Mobile App,2025-12-09,Verified,Activated,2025-12-13,36-45,Savings Account,24,4491.19,0,0.0,0,14,Medium
CUST00014,Midwest,Branch Referral,2025-02-09,Verified,Not Activated,,46-60,Checking Account,3,9.35,0,0.0,0,1,High
CUST00015,Midwest,Partner Network,2025-06-17,Verified,Not Activated,,36-45,Savings Account,3,41.15,0,0.0,0,7,High
CUST00016,South,Paid Media,2025-12-29,Verified,Not Activated,,36-45,Credit Card,1,93.41,0,0.0,0,5,Medium
CUST00017,Northeast,Mobile App,2025-01-02,Verified,Activated,2025-01-12,18-25,Credit Card,21,1062.53,0,0.0,0,27,High
CUST00018,Northeast,Mobile App,2025-07-02,Verified,Activated,2025-07-08,18-25,Savings Account,8,3501.89,0,0.0,0,19,Medium
CUST00019,South,Mobile App,2025-01-10,Verified,Activated,2025-01-18,60+,Savings Account,3,3348.03,0,0.0,0,18,High
CUST00020,South,Branch Referral,2025-07-02,Verified,Not Activated,,18-25,Savings Account,0,149.01,0,0.0,0,3,High
CUST00021,Northeast,Mobile App,2025-06-20,Verified,Activated,2025-06-28,46-60,Credit Card,18,4351.92,0,0.0,0,10,Low
CUST00022,South,Paid Media,2025-05-17,Verified,Not Activated,,26-35,Checking Account,3,26.32,0,0.0,0,6,Medium
CUST00023,Midwest,Mobile App,2025-03-12,Verified,Activated,2025-03-21,18-25,Credit Card,13,203.63,0,0.0,0,10,Low
CUST00024,South,Website,2025-06-06,Dropped,Not Activated,,36-45,Savings Account,2,10.87,0,0.0,0,1,High
CUST00025,Midwest,Mobile App,2025-04-02,Verified,Not Activated,,36-45,Checking Account,0,231.21,0,0.0,0,0,High
CUST00026,West,Paid Media,2025-03-29,Verified,Activated,2025-04-08,46-60,Checking Account,9,4302.1,0,0.0,0,19,Medium
CUST00027,Northeast,Website,2025-04-02,Verified,Activated,2025-04-05,26-35,Checking Account,22,1959.37,0,0.0,0,15,High
CUST00028,Midwest,Website,2025-09-02,Verified,Not Activated,,46-60,Checking Account,3,133.18,0,0.0,0,1,Medium
CUST00029,South,Paid Media,2025-09-26,Verified,Not Activated,,36-45,Savings Account,2,233.98,0,0.0,0,0,High
CUST00030,South,Paid Media,2025-05-29,Verified,Activated,2025-06-04,26-35,Credit Card,15,939.33,0,0.0,0,21,Low
CUST00031,South,Paid Media,2025-09-05,Dropped,Not Activated,,36-45,Checking Account,2,29.28,0,0.0,0,5,High
CUST00032,South,Website,2025-06-02,Verified,Activated,2025-06-08,46-60,Credit Card,9,872.3,0,0.0,0,20,Low
CUST00033,South,Branch Referral,2025-06-09,Verified,Activated,2025-06-16,46-60,Credit Card,29,3617.03,0,0.0,0,13,Medium
CUST00034,Northeast,Branch Referral,2025-11-07,Verified,Not Activated,,18-25,Checking Account,1,114.64,0,0.0,0,2,High
CUST00035,Northeast,Partner Network,2025-09-27,Verified,Activated,2025-10-05,26-35,Credit Card,19,3361.86,0,0.0,0,29,Medium
CUST00036,Northeast,Mobile App,2025-11-12,Dropped,Not Activated,,26-35,Credit Card,0,9.04,1,275.64,0,7,Medium
CUST00037,West,Mobile App,2025-10-20,Verified,Activated,2025-10-29,60+,Credit Card,25,296.74,0,0.0,0,23,Medium
CUST00038,South,Paid Media,2025-07-04,Verified,Activated,2025-07-05,46-60,Savings Account,21,4903.0,0,0.0,1,9,Low
CUST00039,West,Paid Media,2025-08-13,Verified,Not Activated,,18-25,Savings Account,2,196.02,0,0.0,0,3,Medium
CUST00040,Midwest,Branch Referral,2025-04-01,Dropped,Not Activated,,36-45,Checking Account,3,127.09,0,0.0,0,1,Medium
CUST00041,Northeast,Website,2025-02-13,Verified,Activated,2025-02-15,36-45,Checking Account,12,1166.38,0,0.0,0,28,Low
CUST00042,Midwest,Mobile App,2025-01-14,Verified,Activated,2025-01-20,36-45,Checking Account,19,1649.45,0,0.0,0,12,Medium
CUST00043,Midwest,Website,2025-06-07,Dropped,Not Activated,,46-60,Checking Account,2,199.97,0,0.0,0,4,High
CUST00044,Northeast,Paid Media,2025-01-16,Verified,Activated,2025-01-18,26-35,Savings Account,21,3739.19,1,2912.39,0,14,Low
CUST00045,South,Mobile App,2025-09-16,Dropped,Not Activated,,60+,Checking Account,0,77.74,0,0.0,0,6,High
CUST00046,Northeast,Mobile App,2025-05-22,Verified,Not Activated,,18-25,Checking Account,3,138.99,0,0.0,0,7,Medium
CUST00047,Midwest,Mobile App,2025-07-03,Verified,Activated,2025-07-08,26-35,Credit Card,9,4544.81,1,891.7,0,11,Low
CUST00048,Midwest,Mobile App,2025-12-30,Verified,Activated,2026-01-05,46-60,Savings Account,12,3838.22,0,0.0,0,22,Low
CUST00049,West,Website,2025-11-18,Verified,Not Activated,,46-60,Credit Card,1,146.78,0,0.0,0,4,High
CUST00050,Northeast,Website,2025-07-02,Verified,Activated,2025-07-06,36-45,Credit Card,5,221.63,0,0.0,0,17,Low
CUST00051,Northeast,Mobile App,2025-04-23,Dropped,Not Activated,,36-45,Checking Account,3,190.36,0,0.0,0,3,High
CUST00052,West,Mobile App,2025-08-16,Verified,Activated,2025-08-24,26-35,Checking Account,12,4924.43,0,0.0,0,29,Medium
CUST00053,Northeast,Mobile App,2025-08-21,Dropped,Not Activated,,36-45,Credit Card,1,244.48,0,0.0,0,5,High
CUST00054,West,Partner Network,2025-01-31,Verified,Activated,2025-02-04,18-25,Credit Card,3,3409.0,0,0.0,0,8,High
CUST00055,West,Mobile App,2025-11-12,Verified,Activated,2025-11-22,36-45,Savings Account,15,3418.71,1,1464.61,0,21,Low
CUST00056,West,Website,2025-09-03,Verified,Activated,2025-09-05,26-35,Credit Card,8,4444.13,0,0.0,0,22,Medium
CUST00057,West,Partner Network,2025-05-05,Verified,Activated,2025-05-07,26-35,Savings Account,29,3534.32,0,0.0,0,18,Low
CUST00058,Northeast,Website,2025-12-01,Verified,Activated,2025-12-11,26-35,Savings Account,19,1782.13,0,0.0,0,29,Low
CUST00059,Midwest,Paid Media,2025-10-02,Dropped,Not Activated,,26-35,Savings Account,3,147.69,0,0.0,0,5,Medium
CUST00060,Northeast,Paid Media,2025-04-20,Verified,Not Activated,,36-45,Savings Account,1,109.6,0,0.0,0,4,High
CUST00061,West,Paid Media,2025-09-04,Verified,Activated,2025-09-08,36-45,Savings Account,28,2612.39,0,0.0,1,28,Low
CUST00062,Northeast,Mobile App,2025-12-17,Verified,Activated,2025-12-18,26-35,Savings Account,1,646.84,0,0.0,1,27,Medium
CUST00063,Midwest,Website,2025-09-12,Verified,Not Activated,,18-25,Checking Account,0,127.04,0,0.0,0,0,High
CUST00064,West,Mobile App,2025-07-21,Verified,Activated,2025-07-29,26-35,Savings Account,10,1720.61,0,0.0,1,13,Low
CUST00065,Northeast,Mobile App,2025-11-12,Verified,Activated,2025-11-20,46-60,Savings Account,24,642.08,0,0.0,0,8,Medium
CUST00066,West,Mobile App,2025-03-26,Verified,Not Activated,,36-45,Credit Card,2,213.87,0,0.0,0,4,High
CUST00067,West,Website,2025-06-15,Verified,Activated,2025-06-18,26-35,Credit Card,6,2128.73,0,0.0,0,26,Low
CUST00068,Northeast,Mobile App,2025-01-11,Verified,Activated,2025-01-13,36-45,Checking Account,26,3009.77,0,0.0,0,22,Low
CUST00069,South,Partner Network,2025-09-10,Dropped,Not Activated,,18-25,Savings Account,1,224.33,0,0.0,0,1,High
CUST00070,Northeast,Branch Referral,2025-03-08,Verified,Activated,2025-03-11,36-45,Savings Account,1,1233.27,0,0.0,0,21,Medium
CUST00071,Midwest,Branch Referral,2025-03-09,Verified,Not Activated,,36-45,Checking Account,2,104.82,0,0.0,1,0,High
CUST00072,Midwest,Mobile App,2025-10-18,Verified,Activated,2025-10-22,26-35,Credit Card,28,974.36,0,0.0,0,29,Low
CUST00073,Midwest,Paid Media,2025-11-30,Verified,Not Activated,,26-35,Credit Card,2,195.74,0,0.0,0,5,High
CUST00074,South,Mobile App,2025-09-13,Verified,Not Activated,,46-60,Savings Account,3,94.29,0,0.0,0,5,Medium
CUST00075,South,Branch Referral,2025-05-25,Dropped,Not Activated,,36-45,Checking Account,0,94.3,0,0.0,0,1,Medium
CUST00076,Midwest,Partner Network,2025-04-23,Verified,Not Activated,,18-25,Savings Account,2,69.53,0,0.0,0,3,High
CUST00077,Northeast,Mobile App,2025-07-10,Verified,Activated,2025-07-19,60+,Checking Account,3,1336.94,0,0.0,0,14,High
CUST00078,West,Partner Network,2025-11-16,Verified,Activated,2025-11-19,18-25,Credit Card,16,575.19,0,0.0,0,16,Low
CUST00079,Northeast,Mobile App,2025-07-17,Verified,Activated,2025-07-26,36-45,Credit Card,11,2083.79,0,0.0,0,8,High
CUST00080,Northeast,Paid Media,2025-03-17,Dropped,Not Activated,,26-35,Savings Account,2,112.46,0,0.0,0,3,High
CUST00081,Midwest,Website,2025-07-29,Verified,Not Activated,,26-35,Savings Account,3,222.0,0,0.0,0,2,High
CUST00082,South,Website,2025-06-29,Dropped,Not Activated,,18-25,Savings Account,3,40.89,0,0.0,0,7,Medium
CUST00083,Northeast,Partner Network,2025-11-16,Verified,Activated,2025-11-17,36-45,Savings Account,15,1017.47,0,0.0,0,19,Medium
CUST00084,Northeast,Partner Network,2025-05-16,Verified,Not Activated,,18-25,Savings Account,1,155.68,0,0.0,0,6,High
CUST00085,Midwest,Branch Referral,2025-03-19,Verified,Activated,2025-03-23,60+,Savings Account,13,732.25,0,0.0,0,18,High
CUST00086,Midwest,Paid Media,2025-05-24,Verified,Activated,2025-05-31,36-45,Checking Account,28,1779.3,0,0.0,0,29,Low
CUST00087,Midwest,Paid Media,2025-11-05,Verified,Activated,2025-11-07,60+,Checking Account,9,4742.92,0,0.0,0,16,Low
CUST00088,South,Website,2025-05-28,Verified,Activated,2025-06-04,26-35,Credit Card,12,2256.25,0,0.0,0,15,Medium
CUST00089,South,Mobile App,2025-09-01,Verified,Not Activated,,26-35,Savings Account,3,166.96,0,0.0,0,1,Medium
CUST00090,South,Partner Network,2025-04-13,Verified,Not Activated,,36-45,Savings Account,1,152.52,0,0.0,0,0,High
CUST00091,Midwest,Branch Referral,2025-04-27,Verified,Activated,2025-05-01,26-35,Savings Account,13,4686.09,0,0.0,0,26,Low
CUST00092,South,Website,2025-07-18,Dropped,Not Activated,,46-60,Savings Account,3,186.25,0,0.0,0,7,High
CUST00093,Northeast,Branch Referral,2025-08-17,Verified,Activated,2025-08-22,26-35,Savings Account,8,4098.67,0,0.0,0,12,Low
CUST00094,South,Paid Media,2025-01-15,Verified,Activated,2025-01-19,46-60,Savings Account,13,1043.7,0,0.0,0,29,Medium
CUST00095,West,Mobile App,2025-11-17,Verified,Not Activated,,46-60,Savings Account,3,165.86,0,0.0,0,4,High
CUST00096,South,Website,2025-03-06,Dropped,Not Activated,,36-45,Checking Account,0,23.8,0,0.0,0,4,Medium
CUST00097,Midwest,Mobile App,2025-04-19,Verified,Not Activated,,26-35,Checking Account,1,205.31,0,0.0,0,1,High
CUST00098,Midwest,Paid Media,2025-10-01,Verified,Activated,2025-10-05,46-60,Savings Account,16,430.84,0,0.0,1,9,High
CUST00099,Northeast,Branch Referral,2025-06-09,Verified,Not Activated,,18-25,Credit Card,1,134.74,0,0.0,0,6,Medium
CUST00100,Northeast,Paid Media,2025-07-19,Verified,Activated,2025-07-27,46-60,Checking Account,12,1121.06,0,0.0,0,12,Low
CUST00101,Northeast,Paid Media,2025-05-04,Verified,Activated,2025-05-06,60+,Checking Account,5,2025.3,0,0.0,0,17,Medium
CUST00102,Northeast,Branch Referral,2025-06-15,Verified,Activated,2025-06-17,46-60,Savings Account,11,3581.61,1,268.16,0,26,Low
CUST00103,Midwest,Paid Media,2025-08-15,Verified,Activated,2025-08-18,36-45,Credit Card,3,1642.27,0,0.0,0,19,Low
CUST00104,Northeast,Paid Media,2025-05-13,Dropped,Not Activated,,18-25,Checking Account,0,119.02,0,0.0,0,2,High
CUST00105,Northeast,Branch Referral,2025-03-20,Verified,Activated,2025-03-26,18-25,Savings Account,5,759.99,0,0.0,0,15,Low
CUST00106,Midwest,Mobile App,2025-05-12,Dropped,Not Activated,,26-35,Checking Account,2,26.85,0,0.0,0,0,Medium
CUST00107,South,Paid Media,2025-03-14,Verified,Activated,2025-03-23,60+,Checking Account,1,4748.36,0,0.0,0,15,Medium
CUST00108,Midwest,Website,2025-10-20,Verified,Activated,2025-10-30,26-35,Credit Card,14,1673.32,0,0.0,0,10,Medium
CUST00109,Midwest,Website,2025-01-12,Dropped,Not Activated,,36-45,Checking Account,2,97.87,0,0.0,0,7,High
CUST00110,South,Branch Referral,2025-07-27,Verified,Activated,2025-07-31,26-35,Savings Account,4,3643.26,0,0.0,0,25,Medium
CUST00111,Northeast,Paid Media,2025-07-25,Verified,Activated,2025-08-01,36-45,Credit Card,28,2023.18,0,0.0,0,29,Low
CUST00112,South,Branch Referral,2025-01-02,Verified,Activated,2025-01-05,46-60,Savings Account,13,126.82,0,0.0,0,27,Low
